team_name,wins,goals_for
2023–24 AFC Bournemouth season,0,0
2023–24 Brentford F.C. season,0,0
2024–25 AFC Bournemouth season,0,0
2024–25 Brentford F.C. season,0,0
2024–25 Manchester United F.C. season,0,0
2025–26 AFC Bournemouth season,0,0
2025–26 Brentford F.C. season,0,0
A.F.C. Richmond,0,0
2022–23 Arsenal F.C. season,0,0
2022–23 Aston Villa F.C. season,0,0
2022–23 Everton F.C. season,0,0
2022–23 Leicester City F.C. season,0,0
2022–23 Liverpool F.C. season,0,0
2022–23 West Ham United F.C. season,0,0
2015–16 Norwich City F.C. season,0,0
2022–23 Manchester City F.C. season,0,0
2011–12 Queens Park Rangers F.C. season,0,0
1992–93 Arsenal F.C. season,0,0
1992–93 Aston Villa F.C. season,0,0
1993–94 Arsenal F.C. season,0,0
1993–94 Aston Villa F.C. season,0,0
1994–95 Arsenal F.C. season,0,0
1995–96 Arsenal F.C. season,0,0
1996–97 Arsenal F.C. season,0,0
1997–98 Arsenal F.C. season,0,0
1998–99 Arsenal F.C. season,0,0
1999–2000 Aston Villa F.C. season,0,0
2000–01 Aston Villa F.C. season,0,0
2001–02 Aston Villa F.C. season,0,0
2002–03 Aston Villa F.C. season,0,0
2003–04 Aston Villa F.C. season,0,0
2003–04 Bolton Wanderers F.C. season,0,0
2004–05 Aston Villa F.C. season,0,0
2004–05 Bolton Wanderers F.C. season,0,0
2005–06 Arsenal F.C. season,0,0
2005–06 Aston Villa F.C. season,0,0
2006–07 Aston Villa F.C. season,0,0
2007–08 Arsenal F.C. season,0,0
2007–08 Aston Villa F.C. season,0,0
2008–09 Aston Villa F.C. season,0,0
2020–21 Arsenal F.C. season,0,0
2020–21 Newcastle United F.C. season,0,0
2020–21 Tottenham Hotspur F.C. season,0,0
2011–12 Arsenal F.C. season,0,0
2012–13 Arsenal F.C. season,0,0
1999–2000 Liverpool F.C. season,0,0
2000–01 Liverpool F.C. season,0,0
2001–02 Liverpool F.C. season,0,0
2002–03 Arsenal F.C. season,0,0
2003–04 Arsenal F.C. season,0,0
2004–05 Arsenal F.C. season,0,0
2009–10 Manchester City F.C. season,0,0
2010–11 Aston Villa F.C. season,0,0
2010–11 Birmingham City F.C. season,0,0
2010–11 Blackburn Rovers F.C. season,0,0
2010–11 Tottenham Hotspur F.C. season,0,0
2011–12 Swansea City A.F.C. season,0,0
2011–12 Tottenham Hotspur F.C. season,0,0
2012–13 Swansea City A.F.C. season,0,0
2013–14 Arsenal F.C. season,0,0
2013–14 Cardiff City F.C. season,0,0
2015–16 Aston Villa F.C. season,0,0
2014–15 Burnley F.C. season,0,0
2014–15 Crystal Palace F.C. season,0,0
2014–15 West Bromwich Albion F.C. season,0,0
2014–15 West Ham United F.C. season,0,0
2015–16 AFC Bournemouth season,0,0
2015–16 Crystal Palace F.C. season,0,0
2015–16 West Ham United F.C. season,0,0
2022–23 Chelsea F.C. season,0,0
1999–2000 Watford F.C. season,0,0
2006–07 Watford F.C. season,0,0
2024–25 Crystal Palace F.C. season,0,0
2011–12 West Bromwich Albion F.C. season,0,0
2012–13 West Bromwich Albion F.C. season,0,0
2013–14 West Bromwich Albion F.C. season,0,0
2011–12 Wolverhampton Wanderers F.C. season,0,0
2014–15 Chelsea F.C. season,0,0
2014–15 Everton F.C. season,0,0
2014–15 Liverpool F.C. season,0,0
2014–15 Manchester City F.C. season,0,0
2015–16 Chelsea F.C. season,0,0
2015–16 Everton F.C. season,0,0
2015–16 Liverpool F.C. season,0,0
2015–16 Manchester City F.C. season,0,0
2009–10 Chelsea F.C. season,0,0
2011–12 Chelsea F.C. season,0,0
1995–96 Manchester United F.C. season,0,0
2012–13 Chelsea F.C. season,0,0
2010–11 Sunderland A.F.C. season,0,0
2011–12 Sunderland A.F.C. season,0,0
2012–13 Sunderland A.F.C. season,0,0
2012–13 Tottenham Hotspur F.C. season,0,0
2013–14 Tottenham Hotspur F.C. season,0,0
2016–17 Leicester City F.C. season,0,0
2016–17 Middlesbrough F.C. season,0,0
2016–17 Southampton F.C. season,0,0
2016–17 Tottenham Hotspur F.C. season,0,0
2016–17 West Ham United F.C. season,0,0
2020–21 Chelsea F.C. season,0,0
